Date,Start (ET),Visitor/Neutral,PTS_Visitor,Home/Neutral,PTS_Home,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,Game_Code
2018-10-16,8:00p,Philadelphia 76ers,87,Boston Celtics,105,Box Score,,18624,TD Garden,,16102018_phi_bos
2018-10-16,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,19596,Oracle Arena,,16102018_okc_gs
2018-10-17,7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,17889,Spectrum Center,,17102018_mil_cha
2018-10-17,7:00p,Brooklyn Nets,100,Detroit Pistons,103,Box Score,,20332,Little Caesars Arena,,17102018_bkn_det
2018-10-17,8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,18055,Toyota Center,,17102018_no_hou
2018-10-17,7:00p,Memphis Grizzlies,83,Indiana Pacers,111,Box Score,,17923,Bankers Life Fieldhouse,,17102018_mem_ind
2018-10-17,10:30p,Denver Nuggets,107,Los Angeles Clippers,98,Box Score,,19068,STAPLES Center,,17102018_den_lac
2018-10-17,7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,18249,Madison Square Garden (IV),,17102018_atl_ny
2018-10-17,7:00p,Miami Heat,101,Orlando Magic,104,Box Score,,19191,Amway Center,,17102018_mia_orl
2018-10-17,10:30p,Dallas Mavericks,100,Phoenix Suns,121,Box Score,,18055,Talking Stick Resort Arena,,17102018_dal_phx
2018-10-17,10:00p,Utah Jazz,123,Sacramento Kings,117,Box Score,,17583,Golden 1 Center,,17102018_uta_sac
2018-10-17,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112,Box Score,,18354,AT&T Center,,17102018_min_sa
2018-10-17,7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,Box Score,,19915,Scotiabank Arena,,17102018_cle_tor
2018-10-18,8:00p,Chicago Bulls,108,Philadelphia 76ers,127,Box Score,,20302,Wells Fargo Center,,18102018_chi_phi
2018-10-18,10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,19996,Moda Center,,18102018_lal_por
2018-10-18,8:00p,Miami Heat,113,Washington Wizards,112,Box Score,,20409,Capital One Arena,,18102018_mia_wsh
2018-10-19,7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,17732,Barclays Center,,19102018_ny_bkn
